id;text;locale_key;group;link;external_link;target;icon;disabled;hide;hide_in_breadcrumb;shortcut;shortcut_root;reuse;code;description;type;order;api_permission_codes;parent_id;component_file;redirect
269;导出系统日志;;false;;;SELF;;false;true;false;false;false;false;log:sysLog:export;;BUTTON;1;;263;;
270;打印系统日志;;false;;;SELF;;false;true;false;false;false;false;log:sysLog:print;;BUTTON;1;;263;;
271;列配置系统日志;;false;;;SELF;;false;true;false;false;false;false;log:sysLog:customColumn;;BUTTON;1;;263;;
272;编辑系统日志;;false;/log/sys-log/:entityId/edit;;SELF;;false;true;false;false;false;false;logSysLogEdit;;MENU;1;;262;log/sys-log/sys-log-edit;
273;新建系统日志;;false;/log/sys-log/new;;SELF;;false;true;false;false;false;false;logSysLogNew;;MENU;1;;262;log/sys-log/sys-log-edit;
274;查看系统日志;;false;/log/sys-log/:entityId/detail;;SELF;;false;true;false;false;false;false;logSysLogDetail;;MENU;1;;262;log/sys-log/sys-log-detail;
275;表单配置;;false;/system/form-config;;SELF;;false;false;false;false;false;false;systemFormConfigList;;MENU;1;;3;settings/form-config/form-config-list;
276;新建表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:new;;BUTTON;1;;275;;
277;编辑表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:edit;;BUTTON;1;;275;;
278;查看表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:detail;;BUTTON;1;;275;;
279;删除表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:delete;;BUTTON;1;;275;;
280;导入表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:import;;BUTTON;1;;275;;
281;导出表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:export;;BUTTON;1;;275;;
282;打印表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:print;;BUTTON;1;;275;;
283;列配置表单配置;;false;;;SELF;;false;true;false;false;false;false;system:formConfig:customColumn;;BUTTON;1;;275;;
284;编辑表单配置;;false;/system/form-config/:entityId/edit;;SELF;;false;true;false;false;false;false;systemFormConfigEdit;;MENU;1;;3;settings/form-config/form-config-edit;
285;新建表单配置;;false;/system/form-config/new;;SELF;;false;true;false;false;false;false;systemFormConfigNew;;MENU;1;;3;settings/form-config/form-config-edit;
286;查看表单配置;;false;/system/form-config/:entityId/detail;;SELF;;false;true;false;false;false;false;systemFormConfigDetail;;MENU;1;;3;settings/form-config/form-config-detail;
287;消息模板;;false;/files/sms-template;;SELF;;false;false;false;false;false;false;systemSmsTemplateList;;MENU;1;;115;files/sms-template/sms-template-list;
288;新建消息模板;;false;;;SELF;;false;true;false;false;false;false;system:smsTemplate:new;;BUTTON;1;;287;;
289;编辑消息模板;;false;;;SELF;;false;true;false;false;false;false;system:smsTemplate:edit;;BUTTON;1;;287;;
290;查看消息模板;;false;;;SELF;;false;true;false;false;false;false;system:smsTemplate:detail;;BUTTON;1;;287;;
291;删除消息模板;;false;;;SELF;;false;true;false;false;false;false;system:smsTemplate:delete;;BUTTON;1;;287;;
292;导入消息模板;;false;;;SELF;;false;true;false;false;false;false;system:smsTemplate:import;;BUTTON;1;;287;;
293;导出消息模板;;false;;;SELF;;false;true;false;false;false;false;system:smsTemplate:export;;BUTTON;1;;287;;
294;打印消息模板;;false;;;SELF;;false;true;false;false;false;false;system:smsTemplate:print;;BUTTON;1;;287;;
